x1,y1,x2,y2,confidence,class_id,class_name
15.01,202.91,37.83,237.57,1.00,1,saddle
1.69,159.79,23.25,180.92,1.00,1,saddle
11.20,82.85,49.88,107.37,1.00,1,saddle
429.06,270.54,474.08,313.66,1.00,1,saddle
453.79,348.32,491.84,388.90,1.00,1,saddle
475.98,417.65,510.86,459.92,1.00,1,saddle
481.06,524.17,519.74,564.76,1.00,1,saddle
38.47,455.69,70.81,506.42,1.00,1,saddle
48.61,541.93,90.46,584.20,1.00,1,saddle
13.74,264.62,42.91,313.66,1.00,1,saddle
6.13,333.10,36.57,369.46,1.00,1,saddle
381.26,91.12,409.25,120.97,1.00,1,saddle
282.59,196.14,415.11,306.90,1.00,0,bicycle
367.56,132.73,513.39,251.94,1.00,0,bicycle
338.39,68.48,500.71,184.31,1.00,0,bicycle
309.86,0.00,455.69,84.54,1.00,0,bicycle
373.90,226.58,558.42,324.65,1.00,0,bicycle
396.72,289.99,605.34,394.82,1.00,0,bicycle
412.58,373.69,579.97,467.53,1.00,0,bicycle
440.48,430.33,599.00,562.22,1.00,0,bicycle
0.00,498.81,156.41,587.58,1.00,0,bicycle
0.00,422.72,162.75,515.72,1.00,0,bicycle
0.00,255.32,134.21,324.65,1.00,0,bicycle
0.00,196.14,125.34,236.72,1.00,0,bicycle
0.00,100.61,128.51,153.03,1.00,0,bicycle
317.20,242.88,340.21,273.56,1.00,1,saddle
403.03,168.24,432.89,194.78,1.00,1,saddle
2.49,315.85,120.04,389.66,1.00,0,bicycle
