x1,y1,x2,y2,confidence,class_id,class_name
1.06,158.29,29.59,181.77,1.00,1,saddle
202.14,164.92,226.39,205.56,1.00,1,saddle
2.32,269.70,48.61,309.43,1.00,1,saddle
8.71,335.76,34.83,362.29,1.00,1,saddle
34.21,465.12,67.79,500.50,1.00,1,saddle
51.78,546.39,80.23,574.06,1.00,1,saddle
66.37,606.10,95.78,636.62,1.00,1,saddle
483.89,525.66,514.36,562.15,1.00,1,saddle
478.29,421.03,506.90,459.32,1.00,1,saddle
453.41,344.10,483.26,379.71,1.00,1,saddle
438.48,275.22,465.85,304.24,1.00,1,saddle
405.60,169.07,433.51,195.30,1.00,1,saddle
10.57,80.32,45.44,109.06,1.00,1,saddle
181.77,98.58,296.68,290.83,1.00,0,bicycle
274.98,190.22,410.67,313.66,1.00,0,bicycle
366.34,140.05,504.41,266.10,1.00,0,bicycle
374.53,238.73,538.62,329.72,1.00,0,bicycle
392.29,283.51,533.02,401.59,1.00,0,bicycle
409.25,378.05,572.21,456.00,1.00,0,bicycle
436.00,431.12,598.95,557.18,1.00,0,bicycle
0.00,247.71,131.68,328.88,1.00,0,bicycle
0.00,162.33,100.61,216.43,1.00,0,bicycle
312.85,248.68,341.46,275.22,1.00,1,saddle
317.82,0.73,429.15,135.07,1.00,0,bicycle
16.17,423.66,159.84,519.86,1.00,0,bicycle
24.26,494.15,153.00,583.71,1.00,0,bicycle
48.51,523.17,167.31,634.30,1.00,0,bicycle
10.57,365.61,149.89,418.68,1.00,0,bicycle
1.24,109.36,122.53,157.46,1.00,0,bicycle
4.35,310.88,120.04,382.20,1.00,0,bicycle
