x1,y1,x2,y2,confidence,class_id,class_name
248.72,366.79,308.30,495.85,1.00,0,bicycle
217.98,364.74,270.84,491.07,1.00,0,bicycle
359.62,374.86,413.21,495.09,1.00,0,bicycle
408.04,378.11,474.34,490.57,1.00,0,bicycle
358.11,148.68,408.04,267.17,1.00,0,bicycle
406.16,153.32,469.51,277.02,1.00,0,bicycle
509.18,267.65,590.76,308.44,1.00,0,bicycle
180.16,375.00,236.34,483.42,1.00,0,bicycle
380.87,194.49,403.10,218.57,1.00,1,saddle
451.72,205.60,466.54,228.75,1.00,1,saddle
443.38,421.39,461.91,444.08,1.00,1,saddle
391.52,427.87,408.19,451.49,1.00,1,saddle
262.33,416.29,279.46,437.60,1.00,1,saddle
573.50,284.32,590.17,300.53,1.00,1,saddle
223.89,426.94,243.34,445.00,1.00,1,saddle
