x1,y1,x2,y2,confidence,class_id,class_name
71.44,384.68,91.73,428.64,1.00,1,saddle
0.42,232.50,136.75,459.92,1.00,0,bicycle
84.12,315.35,151.33,518.26,1.00,0,bicycle
194.45,280.69,248.98,534.32,1.00,0,bicycle
125.97,393.13,215.38,564.76,1.00,0,bicycle
231.23,344.10,282.59,540.24,1.00,0,bicycle
271.81,388.06,316.20,640.00,1.00,0,bicycle
325.71,380.45,377.70,640.00,1.00,0,bicycle
373.26,321.27,423.36,571.52,1.00,0,bicycle
408.14,363.54,439.84,579.97,1.00,0,bicycle
427.79,358.47,475.35,591.81,1.00,0,bicycle
465.84,393.13,518.47,622.25,1.00,0,bicycle
512.13,410.89,564.76,601.11,1.00,0,bicycle
512.13,284.07,566.66,484.44,1.00,0,bicycle
255.96,3.38,340.29,221.51,1.00,0,bicycle
583.40,470.10,597.08,511.56,1.00,1,saddle
576.56,335.76,590.24,376.39,1.00,1,saddle
29.85,282.68,51.00,321.66,1.00,1,saddle
147.41,468.44,171.66,507.42,1.00,1,saddle
199.65,359.81,227.64,395.46,1.00,1,saddle
233.86,424.49,258.74,464.30,1.00,1,saddle
282.37,475.91,302.90,519.03,1.00,1,saddle
347.68,453.51,373.80,498.30,1.00,1,saddle
404.90,402.93,426.67,446.05,1.00,1,saddle
444.08,437.76,463.36,483.37,1.00,1,saddle
473.31,437.76,500.06,480.05,1.00,1,saddle
513.12,481.71,533.02,525.66,1.00,1,saddle
259.98,47.99,289.21,83.65,1.00,1,saddle
556.03,7.36,577.80,43.02,1.00,1,saddle
484.51,0.00,543.60,165.75,1.00,0,bicycle
253.14,0.73,337.10,220.49,1.00,0,bicycle
