x1,y1,x2,y2,confidence,class_id,class_name
65.95,233.51,139.46,448.29,1.00,0,bicycle
64.86,304.14,94.05,344.50,1.00,1,saddle
138.38,160.00,166.49,211.89,1.00,1,saddle
185.95,131.17,215.14,172.97,1.00,1,saddle
272.43,136.94,295.14,191.71,1.00,1,saddle
360.00,110.99,384.86,161.44,1.00,1,saddle
492.97,89.37,518.92,131.17,1.00,1,saddle
568.65,103.78,592.43,142.70,1.00,1,saddle
70.27,487.21,89.73,526.13,1.00,1,saddle
460.54,578.02,484.32,612.61,1.00,1,saddle
135.14,149.91,248.65,332.97,1.00,0,bicycle
176.22,37.48,249.73,255.14,1.00,0,bicycle
271.35,23.06,328.65,273.87,1.00,0,bicycle
340.54,4.32,390.27,247.93,1.00,0,bicycle
430.27,5.77,515.68,226.31,1.00,0,bicycle
423.78,471.35,491.89,640.00,1.00,0,bicycle
91.89,407.93,149.19,585.23,1.00,0,bicycle
116.76,468.47,167.57,640.00,1.00,0,bicycle
504.86,11.53,590.27,223.42,1.00,0,bicycle
545.95,599.64,566.49,629.91,1.00,1,saddle
496.22,511.71,564.32,640.00,1.00,0,bicycle
473.31,136.73,585.27,300.10,1.00,0,bicycle
604.55,129.26,625.69,165.75,1.00,1,saddle
