x1,y1,x2,y2,confidence,class_id,class_name
446.42,384.91,499.25,472.45,1.00,0,bicycle
481.13,374.34,532.45,460.38,1.00,0,bicycle
548.51,353.12,611.49,431.84,1.00,0,bicycle
543.83,204.94,597.36,284.97,1.00,0,bicycle
513.75,200.55,582.35,284.52,1.00,0,bicycle
568.10,353.49,607.46,426.59,1.00,0,bicycle
501.27,427.41,514.23,445.47,1.00,1,saddle
519.79,417.22,534.14,434.82,1.00,1,saddle
604.99,380.18,614.25,395.92,1.00,1,saddle
615.64,375.54,626.29,392.21,1.00,1,saddle
630.92,374.16,639.72,387.58,1.00,1,saddle
573.97,237.09,586.01,250.98,1.00,1,saddle
