x1,y1,x2,y2,confidence,class_id,class_name
331.60,384.00,377.60,640.00,1.00,0,bicycle
280.00,384.53,313.60,636.80,1.00,0,bicycle
237.20,345.07,274.00,595.73,1.00,0,bicycle
379.10,372.71,443.00,610.18,1.00,0,bicycle
468.40,394.67,512.00,614.40,1.00,0,bicycle
81.20,346.62,148.29,557.47,1.00,0,bicycle
42.86,1.06,108.75,170.38,1.00,0,bicycle
165.46,372.71,212.98,602.20,1.00,0,bicycle
503.60,275.20,584.00,486.40,1.00,0,bicycle
0.00,249.07,56.00,462.40,1.00,0,bicycle
546.40,368.00,633.60,559.47,1.00,0,bicycle
492.80,0.00,540.80,168.00,1.00,0,bicycle
352.00,450.67,376.00,502.93,1.00,1,saddle
282.40,473.60,301.60,518.93,1.00,1,saddle
235.20,423.47,258.00,466.13,1.00,1,saddle
158.67,456.31,180.23,504.76,1.00,1,saddle
69.22,419.57,88.39,464.29,1.00,1,saddle
430.62,469.62,454.18,512.75,1.00,1,saddle
574.80,336.53,594.40,373.87,1.00,1,saddle
581.60,468.80,597.20,510.93,1.00,1,saddle
607.20,428.80,619.20,460.80,1.00,1,saddle
557.60,7.47,580.00,41.07,1.00,1,saddle
391.88,1.07,417.04,47.92,1.00,1,saddle
32.88,52.18,46.86,78.27,1.00,1,saddle
