x1,y1,x2,y2,confidence,class_id,class_name
331.60,384.00,377.60,640.00,1.00,0,bicycle
280.00,384.53,313.60,636.80,1.00,0,bicycle
237.20,345.07,274.00,595.73,1.00,0,bicycle
377.50,373.24,435.81,610.72,1.00,0,bicycle
468.40,394.67,512.00,614.40,1.00,0,bicycle
80.40,345.03,135.91,561.20,1.00,0,bicycle
192.61,276.87,240.53,518.07,1.00,0,bicycle
162.26,370.58,219.37,592.61,1.00,0,bicycle
503.60,275.20,584.00,486.40,1.00,0,bicycle
520.80,395.20,581.20,610.13,1.00,0,bicycle
546.40,368.00,633.60,559.47,1.00,0,bicycle
492.80,0.00,540.80,168.00,1.00,0,bicycle
352.00,450.67,376.00,502.93,1.00,1,saddle
282.40,473.60,301.60,518.93,1.00,1,saddle
235.20,423.47,258.00,466.13,1.00,1,saddle
185.42,346.09,219.37,394.01,1.00,1,saddle
67.22,417.97,90.78,466.96,1.00,1,saddle
483.33,395.61,506.49,435.01,1.00,1,saddle
574.80,336.53,594.40,373.87,1.00,1,saddle
581.60,468.80,597.20,510.93,1.00,1,saddle
607.20,428.80,619.20,460.80,1.00,1,saddle
557.60,7.47,580.00,41.07,1.00,1,saddle
628.40,53.33,640.00,80.00,1.00,1,saddle
155.47,458.44,179.43,506.36,1.00,1,saddle
389.88,0.00,417.04,48.45,1.00,1,saddle
428.22,470.68,450.98,517.54,1.00,1,saddle
426.62,313.61,488.52,536.17,1.00,0,bicycle
