x1,y1,x2,y2,confidence,class_id,class_name
419.03,87.57,593.35,197.78,1.00,0,bicycle
45.01,98.48,219.34,203.24,1.00,0,bicycle
23.73,182.51,208.70,291.63,1.00,0,bicycle
40.10,276.35,224.25,351.65,1.00,0,bicycle
41.74,342.92,242.25,401.84,1.00,0,bicycle
25.37,387.66,208.70,457.49,1.00,0,bicycle
40.10,458.58,207.88,557.89,1.00,0,bicycle
58.93,520.78,197.24,626.63,1.00,0,bicycle
428.85,169.41,594.17,243.61,1.00,0,bicycle
410.03,230.52,602.35,295.99,1.00,0,bicycle
405.93,287.26,604.81,365.83,1.00,0,bicycle
404.30,366.92,589.26,464.04,1.00,0,bicycle
388.75,466.22,583.53,568.80,1.00,0,bicycle
398.57,567.71,572.07,639.73,1.00,0,bicycle
100.67,119.22,135.86,160.68,1.00,1,saddle
67.11,193.42,101.48,231.61,1.00,1,saddle
124.40,371.29,162.05,404.02,1.00,1,saddle
67.93,411.66,111.30,456.40,1.00,1,saddle
76.93,522.97,118.67,568.80,1.00,1,saddle
509.87,166.14,543.43,202.15,1.00,1,saddle
485.32,294.90,522.15,341.82,1.00,1,saddle
486.14,429.12,522.97,472.77,1.00,1,saddle
465.68,609.17,503.32,640.00,1.00,1,saddle
94.94,603.72,121.94,634.27,1.00,1,saddle
504.14,97.39,534.42,126.85,1.00,1,saddle
468.13,525.15,503.32,570.98,1.00,1,saddle
