x1,y1,x2,y2,confidence,class_id,class_name
446.59,384.91,513.31,474.60,1.00,0,bicycle
477.36,377.07,525.54,466.47,1.00,0,bicycle
520.72,200.04,581.38,284.78,1.00,0,bicycle
544.79,206.99,601.29,285.71,1.00,0,bicycle
549.40,356.28,590.19,431.19,1.00,0,bicycle
604.50,127.22,604.75,128.49,1.00,0,bicycle
566.69,224.05,611.90,294.29,1.00,0,bicycle
583.44,227.28,622.00,294.50,1.00,0,bicycle
567.88,352.49,603.74,428.59,1.00,0,bicycle
495.55,426.67,511.29,447.92,1.00,1,saddle
520.74,416.43,534.12,437.69,1.00,1,saddle
571.12,235.38,581.35,252.69,1.00,1,saddle
629.37,371.56,639.61,388.09,1.00,1,saddle
617.56,378.65,627.80,391.24,1.00,1,saddle
603.82,379.65,616.71,398.26,1.00,1,saddle
590.30,247.87,597.17,262.00,1.00,1,saddle
