x1,y1,x2,y2,confidence,class_id,class_name
427.79,273.08,475.98,311.12,1.00,1,saddle
448.08,350.01,491.84,390.59,1.00,1,saddle
474.08,412.58,509.59,459.08,1.00,1,saddle
478.52,528.40,518.47,560.53,1.00,1,saddle
9.93,271.39,44.17,313.66,1.00,1,saddle
3.59,331.41,35.93,370.30,1.00,1,saddle
34.66,455.69,67.64,504.73,1.00,1,saddle
47.98,541.08,82.22,580.82,1.00,1,saddle
11.20,207.13,38.47,235.03,1.00,1,saddle
399.89,163.17,432.23,201.22,1.00,1,saddle
8.67,81.16,45.44,105.68,1.00,1,saddle
129.14,103.14,200.79,310.28,1.00,0,bicycle
278.78,198.68,422.09,311.97,1.00,0,bicycle
373.90,131.04,517.83,239.26,1.00,0,bicycle
342.19,49.88,501.98,192.76,1.00,0,bicycle
373.26,216.43,556.51,321.27,1.00,0,bicycle
393.55,292.52,592.66,400.74,1.00,0,bicycle
410.67,375.38,581.88,461.61,1.00,0,bicycle
436.67,432.02,598.36,563.91,1.00,0,bicycle
0.00,497.97,156.41,597.73,1.00,0,bicycle
0.00,418.49,157.68,520.79,1.00,0,bicycle
0.00,311.97,120.90,386.37,1.00,0,bicycle
6.13,262.93,132.31,311.97,1.00,0,bicycle
0.00,201.22,118.36,245.18,1.00,0,bicycle
0.00,95.54,122.17,154.72,1.00,0,bicycle
310.49,0.00,425.26,82.85,1.00,0,bicycle
0.62,154.14,19.90,171.56,1.00,1,saddle
314.09,248.68,340.84,276.05,1.00,1,saddle
383.75,91.95,406.14,121.80,1.00,1,saddle
