x1,y1,x2,y2,confidence,class_id,class_name
409.74,47.20,570.43,149.52,1.00,0,bicycle
417.19,0.14,537.10,81.76,1.00,0,bicycle
391.06,457.49,570.43,567.71,1.00,0,bicycle
48.29,108.30,212.79,201.06,1.00,0,bicycle
418.21,93.03,588.44,199.97,1.00,0,bicycle
419.03,238.16,608.08,299.27,1.00,0,bicycle
402.66,292.72,605.63,359.28,1.00,0,bicycle
409.21,368.01,586.80,464.04,1.00,0,bicycle
393.66,558.98,579.44,637.54,1.00,0,bicycle
37.65,194.51,207.88,286.17,1.00,0,bicycle
49.92,280.72,230.79,354.92,1.00,0,bicycle
41.74,347.28,256.16,400.75,1.00,0,bicycle
23.73,388.75,225.88,453.13,1.00,0,bicycle
34.37,453.13,207.06,531.70,1.00,0,bicycle
35.19,528.42,194.78,623.36,1.00,0,bicycle
100.67,119.22,135.86,160.68,1.00,1,saddle
67.11,193.42,101.48,231.61,1.00,1,saddle
124.40,371.29,162.05,404.02,1.00,1,saddle
67.93,411.66,111.30,456.40,1.00,1,saddle
76.93,522.97,118.67,568.80,1.00,1,saddle
485.32,294.90,522.15,341.82,1.00,1,saddle
486.14,429.12,522.97,472.77,1.00,1,saddle
465.68,609.17,503.32,640.00,1.00,1,saddle
94.94,603.72,121.94,634.27,1.00,1,saddle
501.69,91.94,536.06,123.58,1.00,1,saddle
481.23,33.01,510.69,57.02,1.00,1,saddle
469.77,524.06,502.51,568.80,1.00,1,saddle
